video_id,captured_at,view_count,like_count,comment_count,live_broadcast_content,live_actual_start_time,live_actual_end_time,live_concurrent_viewers
LJR5XmUzTts,2026-07-17T19:04:31.186387+00:00,44,0,0,none,,,
TzA6BZ0UZKs,2026-07-17T19:04:31.186387+00:00,804,2,0,none,,,
6Y6CFOJGdj4,2026-07-17T19:04:31.186387+00:00,12476,146,9,none,2026-07-17T01:01:02Z,2026-07-17T02:00:07Z,
tbqSqgxqFSU,2026-07-17T19:04:31.186387+00:00,125,4,0,none,,,
ZFehDfRMRT4,2026-07-17T19:04:31.186387+00:00,5930,73,0,none,2026-07-17T16:28:46Z,2026-07-17T17:12:07Z,
SFMrIUc72_Y,2026-07-17T19:04:31.186387+00:00,20284,795,1,none,,,
_WKfTA2EYTQ,2026-07-17T19:04:31.186387+00:00,815,21,0,none,,,
18iEkMVT3nE,2026-07-17T19:04:31.186387+00:00,294,6,0,none,,,
5r1ZDTG_OGo,2026-07-17T19:04:31.186387+00:00,604,32,1,none,,,
ZMgKuehXDhE,2026-07-17T19:04:31.186387+00:00,1294,31,1,none,,,
B2M6e14z_AU,2026-07-17T19:04:31.186387+00:00,3142,163,9,none,,,
nmPZvqcMp_c,2026-07-17T19:04:31.186387+00:00,4765,115,6,none,2026-07-17T13:30:06Z,2026-07-17T13:51:38Z,
EeCkVtqQ6uI,2026-07-17T19:04:31.186387+00:00,109,3,2,none,,,
J59FhF4buqY,2026-07-17T19:04:31.186387+00:00,3792,37,10,none,2026-07-16T18:17:22Z,2026-07-16T18:23:27Z,
FJJ2BIdve3s,2026-07-17T19:04:31.186387+00:00,693,7,1,none,,,
_ianYSYpImc,2026-07-17T19:04:31.186387+00:00,105,1,0,none,,,
YlNLTWRgvWI,2026-07-17T19:04:31.186387+00:00,373,24,3,none,,,
I6v1ht7ktsk,2026-07-17T19:04:31.186387+00:00,128,3,0,none,,,
82PbS78Hwao,2026-07-17T19:04:31.186387+00:00,938,20,0,none,,,
0ecOSM8Z6Zs,2026-07-17T19:04:31.186387+00:00,28,1,1,none,,,
XCrAHa6hRq8,2026-07-17T19:04:31.186387+00:00,1518,13,1,none,,,
FRXLofT8Huw,2026-07-17T19:04:31.186387+00:00,1386,39,5,none,,,
u-QKAk5AcFw,2026-07-17T19:04:31.186387+00:00,82,5,1,none,,,
eJYbVc9T5fM,2026-07-17T19:04:31.186387+00:00,210,1,0,none,,,
wuUOBHTgc-Y,2026-07-17T19:04:31.186387+00:00,31,0,0,none,,,
Mm2DLjdi3CI,2026-07-17T19:04:31.186387+00:00,3205,20,15,none,,,
5-907B1oVuc,2026-07-17T19:04:31.186387+00:00,878,6,2,none,,,
_YgwyVpAVRU,2026-07-17T19:04:31.186387+00:00,59,0,0,none,,,
iL2oyyNX03c,2026-07-17T19:04:31.186387+00:00,47,0,0,none,,,
6_S4SwXGmmw,2026-07-17T19:04:31.186387+00:00,806,21,0,none,,,
iz3YEHJ1ozU,2026-07-17T19:04:31.186387+00:00,99,0,0,none,,,
bCVaTFlhA6k,2026-07-17T19:04:31.186387+00:00,14545,184,1,none,,,
xkCuKtljLQg,2026-07-17T19:04:31.186387+00:00,370,5,0,none,2026-07-17T14:30:17Z,2026-07-17T14:59:16Z,
654Mv-lIp6Y,2026-07-17T19:04:31.186387+00:00,722,4,6,none,,,
VzsyEOioG3w,2026-07-17T19:04:31.186387+00:00,180125,4912,88,none,,,
SXzjzxoWKyY,2026-07-17T19:04:31.186387+00:00,157,2,0,none,,,
q3pNLaCB3Bc,2026-07-17T19:04:31.186387+00:00,4966,389,4,none,,,
avhIDHlmUCQ,2026-07-17T19:04:31.186387+00:00,159,1,0,none,,,
HrVe6FDETqc,2026-07-17T19:04:31.186387+00:00,909,24,0,none,,,
MYXqD3icmRE,2026-07-17T19:04:31.186387+00:00,2644,29,2,none,2026-07-16T17:10:36Z,2026-07-16T18:26:27Z,
r41D1w9Vy00,2026-07-17T19:04:31.186387+00:00,2731,72,2,none,,,
X3SxbaOGRWY,2026-07-17T19:04:31.186387+00:00,231,2,0,none,,,
0BOf4BZsLlA,2026-07-17T19:04:31.186387+00:00,5921,123,7,none,2026-07-17T16:27:36Z,2026-07-17T17:11:18Z,
KsUz-1Y5YeA,2026-07-17T19:04:31.186387+00:00,230,0,0,none,,,
6c4qpujcbgc,2026-07-17T19:04:31.186387+00:00,10920,245,1,none,,,
wXzZdB5TWhw,2026-07-17T19:04:31.186387+00:00,4344,53,0,none,,,
0PK_igMt2Vo,2026-07-17T19:04:31.186387+00:00,128737,4776,148,none,2026-07-17T15:45:06Z,2026-07-17T16:07:56Z,
